BHEL,BOSH,CIPL,HDFC Historical Data,INFY,JSTL,KTKM,LART,LUPN,SBI,SUN,TISC,TTPW,WIPR,Date
-0.06899287148695143,0.01739174271186883,0.04674726253963213,0.0,0.06524052186840093,0.02066051496551724,0.02272825107755594,-0.009209953612836497,0.04939275532957632,0.0,0.0,0.018592584908069476,0.0,0.0,"May 05, 1995"
0.0,0.02597548640326064,0.0,0.012739025777429802,-0.033152207316900495,0.02024228437074882,0.07258192872676883,0.019174628765211477,0.04939275532957632,0.0,0.0,0.02483610154775384,0.0,0.0,"May 08, 1995"
0.04305948946044724,0.0,-0.008987271000236774,0.019950786419348887,0.011049836186584991,0.0,0.0,-0.0039033960271601664,0.0778836568168435,-0.011638722497782528,0.03003228709887512,0.004912193018447475,0.008253141756720428,0.0,"May 09, 1995"
0.0,0.0,-0.004941767910778605,0.0246926125903717,-0.022223136784710218,-0.00811297651327525,0.09531017980432477,-0.019174628765211477,0.04611768209496536,0.0,-0.00566573753567734,-0.019745449183576014,-0.009132483563272675,0.0,"May 10, 1995"
0.010269666637456432,0.0,-0.02898753687325195,-0.007566240383316103,0.022728251077556147,-0.008246789274737765,0.1001398108716689,0.02538781571699067,0.02332467256640891,0.011222062906263819,0.0,0.020042266640115436,0.0046146828546724805,0.0,"May 12, 1995"
0.03142936253029216,0.01709443335929972,0.0,0.02500130220541763,0.011560822401076004,-0.024816833621151613,0.1001398108716689,-0.00778409454601503,0.0,0.005595289698749006,0.017699577099400954,-0.01765086629793977,-0.008291157583981246,0.0,"May 15, 1995"
0.0,0.0,0.03511811258258213,-0.0024479816386402398,0.0,0.008453135711058213,0.1001398108716689,-0.0020186734081995006,-0.03763106821764661,0.011775779088131433,0.0059347355198146046,0.017600225996732277,-0.0046146828546724805,0.0,"May 16, 1995"
0.008711940602021517,-0.01511363781004782,0.0,0.033576295533604306,0.053488684950986125,0.01622820843202666,0.1001398108716689,0.01914766941413415,0.0,-0.0055130308086490665,0.011628037995119134,0.01730275725122521,0.0,0.04292504471703398,"May 17, 1995"
-0.055734636522243086,-0.00505477066162463,0.009604802319733707,0.07061756721395351,0.030771658666753715,0.016292312151434896,0.07328472356849236,-0.01318700428195374,0.017857617400006465,0.02228336706516698,0.011494379425735057,0.024062671609751618,0.009049835519917782,0.01652930195121058,"May 18, 1995"
0.007228947143151476,0.0033557078469721446,0.009604802319733707,-0.004454350349380132,0.030771658666753715,0.007985987179845555,0.07328472356849236,0.0019389245046737003,0.02043866767727387,-0.011186457540715011,0.0,-0.018510962503277995,0.029166892985292403,0.0,"May 19, 1995"
0.024302532619032036,-0.011735256218420531,-0.01044785623165545,-0.01137668698210792,-0.040409538337876666,0.038984496106015065,0.07258192872676883,0.005626926161722334,0.03409421134297608,-0.011442461490672962,0.011494379425735057,-0.009702211483922696,-0.040614719154190126,0.0659579677917973,"May 22, 1995"
0.008500354765392348,-0.005097717071667951,0.01044785623165545,0.013761685072681384,0.01005033585350145,-0.015348774304710044,0.048254975502656894,0.0,0.016901810802603334,0.0,0.005763704716750029,-0.007224209554078875,-0.008818399297520596,-0.02135312447056903,"May 23, 1995"
-0.031709973896894006,0.0,0.014892307992079523,-0.009132483563272675,0.0,0.0,0.048254975502656894,0.0,0.016901810802603334,-0.011477021177528801,0.011494379425735057,-0.04689231162315899,0.0,-0.02919915469226214,"May 24, 1995"
-0.00740744127786197,0.0,0.0,0.002306806097915004,-0.010152371464018015,0.0,0.02685508730317654,-0.01914766941413415,0.04611768209496536,0.0030497126412387665,0.0,0.0,0.025790669140802525,-0.046520015634892914,"May 25, 1995"
-0.008711940602021517,0.0,-0.01969760655448649,-0.009216655104923976,0.0206192872027357,0.0077411750565952175,0.1001398108716689,0.005692380177226841,0.03409421134297608,-0.006056953708189816,0.016997576368571132,-0.0336531078986102,-0.016543694685758226,0.032789822822990894,"May 26, 1995"
-0.025095419852545486,0.0,0.01969760655448649,-0.023754086008107134,0.010256500167189108,0.030079740061134785,0.049448275413981335,0.011307888436806302,0.025679014417691493,0.011504819600921312,0.005698021114637797,0.029066781408722875,0.016689012729850017,0.05173567439918887,"May 29, 1995"
0.0,0.0,0.0,-0.00966191091173707,0.0,0.03617664044572155,0.049448275413981335,-0.001715896976960174,0.0,0.005403795797505939,0.005540180375615322,0.03486938254462579,0.0,0.0,"May 30, 1995"
0.01750044663510053,-0.006745388139531627,0.010769334852364754,0.018692133012152556,-0.010256500167189108,0.034636715951167574,0.049448275413981335,0.003618385325264928,0.03409421134297608,0.0569610389256594,0.0,0.024640338948298535,0.015879982677462934,0.042200354490376485,"May 31, 1995"
-0.01750044663510053,0.0016906174779069971,-0.003795070968551695,0.02047853134354094,0.0,-0.006848403700746797,0.049448275413981335,0.0038167985267008042,0.03409421134297608,0.020213744784200127,-0.022100347000665876,0.03260446078218848,0.03156878903977223,-0.008097210232619362,"Jun 01, 1995"
-0.008788506033079013,-0.008438868645865405,-0.01458759073217708,0.01327453120869615,0.029270382300113237,-0.04153234388159488,0.049448275413981335,-0.014983363924238269,0.033522692038643775,0.0,0.0,-0.03035867069293552,0.0,0.0,"Jun 02, 1995"
-0.02531780798428951,0.0,-0.006139696953622487,-0.004454350349380132,0.0,-0.021587769498365272,0.049448275413981335,-0.001928176061358311,0.0,0.01011992657976224,0.005420067469339207,0.006600132568721939,0.022507740992736558,0.0,"Jun 05, 1995"
